      2007   2008   2009   2010
Jan	139.66	131.94	118.00	112.42
Feb	117.36	 99.74	 94.12	105.26
Mar	121.08	112.61	103.41	 90.75
Apr	 73.82	 98.33	 95.59	 82.74
May	 90.05	 92.90	 86.76	 92.40
Jun	 73.21	 87.29	 64.45	 78.90
Jul	 61.73	 73.22	 52.44	 63.60
Aug	 68.27	 25.56	 56.89	 41.46
Sep	 87.15	 87.93	 83.95	 71.18
Oct	 99.32	104.99	 97.07	 99.64
Nov	111.91	122.02	104.34	 82.95
Dec	143.38	113.43	113.92	  0.00
